ID	家系	体重	性别
900202302005038	18	701	雄性
900202302004541	67	654	雄性
900202302005065	16	606	雄性
900202303000455	22	548	雄性
900202302005648	7	501	雄性
900202302005605	12	461	雄性
900202302005241	13	660	雄性
900202302004730	76	713	雄性
900202302005954	6	630	雄性
900202302004134	65	611	雄性
900202397201602	82	633	雄性
900202302006807	126	578	雄性
900202302004879	75	636	雄性
900202302005379	12	565	雄性
900202303000813	27	600	雄性
900202302007101	93	587	雄性
900202302005410	13	651	雄性
900202303000523	22	560	雄性
900202302003917	41	672	雄性
900202302005515	12	382	雄性
900202303000240	37	703	雄性
900202302005346	16	606	雄性
900202302004000	51	645	雄性
900202302005278	12	409	雄性
900219001208770	51	651	雄性
900202302005499	6	646	雄性
900219001209143	50	649	雄性
900202303000353	30	663	雄性
900202302004146	70	598	雄性
900202303000936	34	674	雄性
900202302004219	64	603	雄性
900202302005226	12	620	雄性
900202302005615	7	387	雄性
900202303000657	37	690	雄性
900202302005212	5	673	雄性
900202302005624	12	462	雄性
900202302004517	67	721	雄性
900219001210475	53	685	雄性
900202303000138	35	640	雄性
900202302005264	7	508	雄性
900202302005530	12	351	雄性
900202302006826	126	614	雄性
900202302004671	70	587	雄性
900202499109967	57	654	雄性
900202302007162	102	629	雄性
900202302004551	65	612	雄性
900202303000998	33	585	雄性
900202303000239	32	713	雄性
900202302007041	102	461	雄性
900202303000643	27	565	雄性
900202302006867	126	586	雄性
900202302005255	7	475	雄性
900202302005076	7	654	雄性
900202302004682	73	673	雄性
900202303000735	22	560	雄性
900202302007365	102	488	雄性
900202302005274	12	542	雄性
900202302005195	7	425	雄性
900202302004753	64	610	雄性
900202397201835	82	755	雄性
900202302003909	41	683	雄性
900202303000695	27	592	雄性
900202302004360	75	654	雄性
900202302004566	76	702	雄性
900202302005661	7	494	雄性
900202303000938	37	677	雄性
900202302005724	7	496	雄性
900202302005010	16	655	雄性
900202302005533	12	460	雄性
900202302007160	102	553	雄性
156020226010248	37	679	雄性
900202302004986	70	600	雄性
900202302003986	47	738	雄性
900202302004016	75	614	雄性
900202302005207	13	692	雄性
900202302004253	76	770	雄性
900202302003592	53	758	雄性
900202303000465	22	565	雄性
900202303000870	33	607	雄性
900202302003588	57	708	雄性
900202302004569	65	610	雄性
900202303000587	36	690	雄性
900202303000203	33	586	雄性
900202303000225	34	634	雄性
900202302003933	47	710	雄性
900202302005099	1	614	雄性
900202302007128	94	690	雄性
156020226011297	41	710	雄性
900202302005484	3	725	雄性
900202302005134	12	554	雄性
900202302003874	58	640	雄性
900202302007123	102	514	雄性
900202303000417	35	669	雄性
900202302005973	2	724	雄性
900202302005344	16	616	雄性
900202302005384	2	700	雄性
900202302005056	12	550	雄性
900202302007387	94	711	雄性
900202302006604	126	597	雄性
900202302005665	18	612	雄性
156020226010349	45	710	雄性
900202302007059	95	660	雄性
900202303000978	27	577	雄性
900202302005054	12	439	雄性
900202302005321	13	674	雄性
900219001205133	44	769	雄性
900202302005196	12	485	雄性
900202302005906	1	718	雄性
900202302005156	7	452	雄性
900202303000685	32	701	雄性
900202303000864	34	644	雄性
900202303000926	35	658	雄性
900202397201858	81	844	雄性
900202303000773	27	598	雄性
900219001547749	60	673	雄性
